composition,HV,Sparsity,Expected Utility,Card,IGD,MUL,execution_time
_0_1_2_3_4_,8996.93870906205,0.319524126631235,3.552068358215927,19,1.7124114529889973,1.6084000274658203,652.8279728889465
_0_2_13_24_25_,10731.247208570312,0.39191361898696186,3.673403050496,9,2.3860018427924192,1.9719999691009527,408.3039650917053
_10_13_16_30_38_,7203.484801716757,0.2394538289487779,3.4416912650100637,10,2.193270047673798,2.6380998687744146,646.7262976169586
_0_7_18_29_43_,0.0,0.2412203641688393,0.262681351173079,5,7.796818860414147,6.0,612.7621819972992
_1_3_4_6_11_,6844.972210882512,2.400217279791832,3.35032114975177,2,3.0842292320541307,2.0975000534057617,346.03700137138367
_2_10_11_25_31_,17692.52269223154,0.5576834317317763,4.025603468275337,10,1.5243097642822492,0.7639001220703125,450.5211296081543
_0_5_7_13_28_,6409.102072630341,0.8424993536827969,3.379925038016191,3,2.990770445078582,3.0315999921798706,336.5519509315491
_1_5_13_22_39_,4906.560577744795,0.6739468690357171,3.1630996648136693,6,2.5860758488030715,2.9160000173568728,488.21164655685425
_3_6_9_17_27_,8537.770926395275,1.7928922378923744,3.541684114787624,2,3.0210188490535925,2.387999993133545,318.5048291683197
_14_20_32_39_46_,0.0,0.8913412438026475,1.3678538264440778,4,5.587181662588619,5.0,609.7616994380951
