composition,HV,Sparsity,Expected Utility,Card,IGD,MUL,execution_time
_0_1_2_3_4_5_6_7_,62603.64270268149,1.1652534700000006,5.3564181910345505,3,2.9045121375431258,2.2693000000000003,3002.765897989273
_2_4_10_14_20_26_27_32_,57796.44722323126,1.2738369699999996,5.299496918523261,3,3.1930535043901185,3.0931000000000006,2890.3588807582855
_0_3_8_14_22_28_35_41_,49031.792296936255,1.1652534700000006,5.228377341151468,3,3.020512824504737,2.7833999999999994,2886.171284198761
_1_6_12_19_24_29_37_44_,85212.02773971349,0.754819973333334,5.698135041064868,4,2.1340724258951815,2.0375000000000005,4688.350742101669
_2_4_9_13_21_27_32_40_,69534.4736592066,0.6857531266666665,5.4685192179417905,4,2.1386608197330164,2.009900000000002,5428.160763263702
_5_7_11_17_23_30_34_42_,78238.60532898387,0.9570387800000004,5.658674509951809,3,2.198751337903679,2.452799999999999,3114.7845647335052
_10_15_20_25_31_33_38_43_,77409.63270943976,1.2123395500000007,5.600154326940407,3,2.0227350110221374,2.9873000000000003,4631.820751428604
_16_18_26_36_39_45_46_41_,61446.42644964356,0.7101474266666661,5.436055883785753,4,2.1956892132889267,2.9117999999999995,4630.313201904297
_0_4_9_14_20_26_32_38_,54204.35226189515,1.1652534699999997,5.243652876045476,3,2.777173617161042,2.9351000000000003,3135.691790342331
_1_7_11_17_22_28_35_44_,54064.10686478296,0.7548199733333343,5.364722719451744,4,2.682217571963364,3.6285,3854.3126487731934
