composition,HV,Sparsity,Expected Utility,Card,IGD,MUL,execution_time
_0_1_2_3_4_,15442.431759592857,0.11534631564102565,3.9962710796992695,40,0.7987866598055554,1.0,418.19008445739746
_0_2_13_24_25_,15765.009443483055,0.13243058675675679,3.957812029665383,38,0.7475402940955631,0.11965202867984726,333.6507489681244
_10_13_16_30_38_,14204.63243869693,0.10810236,3.9037375452475596,44,0.7656681769803452,1.0,483.2691776752472
_0_7_18_29_43_,14498.105500768372,0.1132333451351351,3.8796385076967668,38,0.7524359336534018,1.0,451.8985779285431
_1_3_4_6_11_,18228.1710931956,0.11113434972222223,4.136790608480091,37,0.86661437881525,1.0490931461393833,405.9648792743683
_2_10_11_25_31_,17540.461177919147,0.1247518340625,4.029681747945819,33,0.735822998494161,1.0,342.0651409626007
_0_5_7_13_28_,14408.67186554483,0.1042391330952381,3.8876825759181264,43,0.6553519981806034,0.5025867682695395,366.1684567928314
_1_5_13_22_39_,13785.853405969903,0.12889467594594595,3.8820523092815478,38,0.757331215879141,1.0,497.42056465148926
_3_6_9_17_27_,16730.645937647885,0.08473029255319149,3.9963404229973722,48,0.6649053891247357,1.0,373.26834654808044
_14_20_32_39_46_,12757.047814951322,0.0980640189473684,3.8211354733578737,39,0.49473974617107697,1.0,515.3769183158875
