HV,Sparsity,Expected Utility,Card,IGD,MUL,execution_time,Algorithm,Number of Clouds,Comp
1486.7347213311375,0.18382145538654762,2.378429302273325,18.2,0.4628029886220948,0.45102364527583116,279.8616272449493,mpmoql,5,3
15336.10304377699,0.11209269118593834,3.949114230028981,39.8,0.7239196791199835,0.867133194308877,418.72728955745697,mpmoql,5,5
157975.506332867,0.07713418316249732,6.282000725350466,56.3,1.0746419336863149,1.6,587.7069519519806,mpmoql,5,8
2080.5807633624936,0.09573742887654425,2.5759216812667667,34.1,0.6190368440671895,0.6055152502003314,217.90345284938812,mpmoql,10,3
20423.068573764423,0.08548786123364265,4.208484517556196,60.7,1.0269235906387617,1.2192681828278302,292.9774205684662,mpmoql,10,5
210397.056771877,0.11611883063675058,6.634116730410805,71.2,1.368148910370243,1.1378275341427326,355.26678771972655,mpmoql,10,8
1909.4495603102919,0.07478405114571485,2.546405368580051,48.5,0.7309308363325813,0.6631707488411666,942.3908649921417,mpmoql,20,3
18065.591917173417,0.08506104783859607,4.145162170322011,64.5,1.1406010903370636,1.0513289956238867,740.3667381048202,mpmoql,20,5
158075.4167529731,0.13820246332092911,6.29849353256545,62.5,1.6679658186726347,1.0489494745089114,1142.5231073856353,mpmoql,20,8
937.8421965840922,0.6258457978028596,2.143755676382087,4.9,1.1216844735484663,0.8968589060664176,716.0339507341384,pcn,5,3
6583.074793888516,0.4713586729930266,3.143598430670821,4.9,2.174344311252536,1.9756699928283692,469.09663486480713,pcn,5,5
15830.799024050695,0.7942202950225388,2.9653917360666466,2.5,7.5687880866427,6.974739988861084,368.2949144363403,pcn,5,8
1273.733459896589,0.6576418724269985,2.302316690839342,7.0,1.2271355504164498,0.9702963441804051,312.7000723361969,pcn,10,3
10177.192351401305,0.49711137994905813,3.6130594801562665,8.2,2.038968299034292,1.8068199793434143,323.54267382621765,pcn,10,5
31230.559324117203,0.3363937157754746,3.409259609782579,2.7,7.141155977361959,6.323410012931824,709.0682276010514,pcn,10,8
1103.1169856228887,0.39391237489921027,2.2193911318016184,9.090909090909092,1.2978427271961523,1.0724276562035084,1267.8839720595968,pcn,20,3
7132.259919923357,0.8350692354672958,2.975833128698374,7.0,3.288208800572961,2.841550004348755,487.0208674669266,pcn,20,5
34532.930442270546,0.86039536189471,3.572455818944919,4.3,6.76367965064407,5.544589968757629,568.2099264383316,pcn,20,8
887.022340301997,1.2882287593333333,2.13070593433232,2.3,1.3167244144566133,1.02676,1331.6703204870223,envelope,5,3
7749.9511106314,1.1622299415000001,3.4792752677195486,3.1,1.7799385237544787,1.64403,2580.072514653206,envelope,5,5
64954.150723651444,0.9844516210000002,5.435420702589112,3.4,2.526737846340533,2.7108700000000003,3826.273052549362,envelope,5,8
1041.3456000565106,1.2536005195000004,2.169177649187625,3.1,1.5044447918767063,1.3430900000000001,1174.5770547628404,envelope,10,3
8958.95351620684,0.8319993793333331,3.5324199204529814,3.4,2.35490114709824,1.9641800000000003,2287.466607451439,envelope,10,5
75205.35696473265,0.9614487334285717,5.497939516107954,3.5,3.7926480142579777,3.4327285714285716,4243.0154838221415,envelope,10,8
956.5451587682337,1.0244701964166667,2.139134821144864,3.1,1.5095743336772784,1.3548884822812677,2348.5864454746247,envelope,20,3
7846.043446917688,1.1675525214999998,3.4472314851294557,3.2,2.5919411795857075,2.25672,2928.8263348579408,envelope,20,5
65030.153195284925,0.6588084760000005,5.4057462153776665,3.7,4.527680291898951,3.7443299999999993,5416.7550131082535,envelope,20,8
